Title,Director,Genres,Plot,Vote Average,Vote Count
Winnie-the-Pooh: Blood and Honey 3,Scott Chambers,"Horror, Thriller","Plot TBA. The third installment in the Blood and Honey series. New characters will be introduced, including Rabbit, the Heffalumps and the Woozles.",0.0,0
NYAD,Elizabeth Chai Vasarhelyi,"Drama, History",Athlete Diana Nyad sets out at 60 to achieve a nearly impossible lifelong dream: to swim from Cuba to Florida across more than 100 miles of open ocean.,7.1,430
The Belko Experiment,Greg McLean,"Horror, Thriller",A group of eighty American workers are locked in their office and ordered by an unknown voice to participate in a twisted game.,6.2,1461
Lion of the Desert,Moustapha Akkad,"History, War, Drama","This movie tells the story of Omar Mukhtar, an Arab Muslim rebel who fought against the Italian conquest of Libya in WWII. It gives western viewers a glimpse into this little-known region and chapter of history, and exposes the savage means by which the conquering army attempted to subdue the natives.",7.3,169
Resistance,Jonathan Jakubowicz,"War, History, Drama",The story of mime Marcel Marceau as he works with a group of Jewish boy scouts and the French Resistance to save the lives of ten thousand orphans during World War II.,6.968,423
The Eagle,Kevin Macdonald,"Adventure, Drama","In 140 AD, twenty years after the unexplained disappearance of the entire Ninth Legion in the mountains of Scotland, young centurion Marcus Aquila arrives from Rome to solve the mystery and restore the reputation of his father, the commander of the Ninth. Accompanied only by his British slave Esca, Marcus sets out across Hadrian's Wall into the uncharted highlands of Caledonia - to confront its savage tribes, make peace with his father's memory, and retrieve the lost legion's golden emblem, the Eagle of the Ninth.",6.2,1275
Erotic Diary of an Office Lady,Masaru Konuma,"Romance, Drama",Asami Ogawa in her first leading role as an office lady with a healthy sexual appetite who grows bored with the limited choices that society offers her.,3.6,13
Draft Day,Ivan Reitman,Drama,"At the NFL Draft, general manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams.",6.712,913
Blood Ties,Guillaume Canet,"Thriller, Crime, Drama","Two brothers, on either side of the law, face off over organized crime in Brooklyn during the 1970s.",6.1,462
Judas and the Black Messiah,Shaka King,"Drama, History",Bill O'Neal infiltrates the Black Panthers on the orders of FBI Agent Mitchell and J. Edgar Hoover. As Black Panther Chairman Fred Hampton ascends—falling for a fellow revolutionary en route—a battle wages for O’Neal’s soul.,7.341,1507
The Amateurs,Michael Traeger,Comedy,Sex sells in America and these guys know it. The Amateurs follows a small town band of loveable losers who hit upon an idea that can make their dreams and fantasies come true. Thinking they've found the road to riches and fame they decide to make the world's most innocent adult film. Everyman's fantasy turns into a hilarious misadventure when they find they're in way over their heads.,5.6,93
Sudden Death,Peter Hyams,"Action, Drama, Thriller",When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,6.0,710
This Is Me…Now,Dave Meyers,"Drama, Music","An intimate, fantastical and narrative-driven reflection of Jennifer Lopez's journey of self-healing and self-love in an immersive world where music and visuals intertwine, revealing the challenges faced and the triumphs achieved.",5.3,71
The Red Turtle,Michael Dudok de Wit,"Animation, Drama, Fantasy, Family","The dialogue-less film follows the major life stages of a castaway on a deserted tropical island populated by turtles, crabs and birds.",7.5,1252
Wyrmwood: Road of the Dead,Kiah Roache-Turner,"Horror, Action, Comedy","Barry is a talented mechanic and family man whose life is torn apart on the eve of a zombie apocalypse. His sister, Brooke, is kidnapped by a sinister team of gas-mask wearing soldiers & experimented on by a psychotic doctor. While Brooke plans her escape Barry goes out on the road to find her & teams up with Benny, a fellow survivor - together they must arm themselves and prepare to battle their way through hordes of flesh-eating monsters in a harsh Australian bushland.",6.1,441
Weekend at Bernie's,Ted Kotcheff,"Comedy, Crime","Two young insurance corporation employees try to pretend that their murdered employer is alive by puppeteering his dead body, leading a hitman to attempt to track him down to finish him off.",6.4,1001
A Good Marriage,Peter Askin,Thriller,"After 25 years of a good marriage, what will Darcy do once she discovers her husband's sinister secret?",5.4,448
The Blonde One,Marco Berger,"Drama, Romance",Gabriel rents a room in Juan’s House. They work together in a Woodwork place. Gabriel is a very quiet guy and has a little daughter. Juan is a party boy who has a lots of girls around. Inadvertently the sexual tension starts to grow between them. It opens a new hidden forbidden world they have to deal with.,7.9,176
"Merry Christmas, Mr. Lawrence",Nagisa Ōshima,"Drama, History, War","Island of Java, 1942, during World War II. British Major Jack Celliers arrives at a Japanese prison camp, run by the strict Captain Yonoi. Colonel John Lawrence, who has a profound knowledge of Japanese culture, and Sergeant Hara, brutal and simpleton, will witness the struggle of wills between two men from very different backgrounds who are tragically destined to clash.",7.3,448
Mr. Popper's Penguins,Mark Waters,"Comedy, Family","Tom Popper is a successful businessman who’s clueless when it comes to the really important things in life...until he inherits six “adorable” penguins, each with its own unique personality. Soon Tom’s rambunctious roommates turn his swank New York apartment into a snowy winter wonderland — and the rest of his world upside-down.",5.96,2922
Hanna D: The Girl from Vondel Park,Rino Di Silvestro,Drama,"Hanna is a girl completely abandoned to herself, is not at all inhibited sexually, and is attracted to the attention of unscrupulous people like Miguel, who takes advantage of Hanna, turning her to prostitution to obtain her drug fix. Until she meets Alex, a young man with a sincere affection for Hanna.",3.6,6
Sachertorte,Tine Rogoll,"Romance, Comedy",Karl meets Nini at a Berlin train station: it is love at first sight. But the few hours they spend together before she travels back to Vienna end in a mishap in which Karl loses her phone number. He decides to move to the Austrian capital to find his dream woman again.,7.0,36
Mission «Sky»,Igor Kopylov,"Drama, War","In the center of the story are three main characters - Lieutenant Colonel Soshnikov, Captain Muravyov and Major Zakharov. Three ages, three different characters, three different destinies, which are destined to meet at the Khmeimim military base.",8.5,50
Batman: Bad Blood,Jay Oliva,"Science Fiction, Action, Animation","Bruce Wayne is missing. Alfred covers for him while Nightwing and Robin patrol Gotham City in his stead and a new player, Batwoman, investigates Batman's disappearance.",7.0,893
The Life and Deaths of Christopher Lee,Jon Spira,Documentary,"Aristocratic Italian roots, a close family connection to James Bond novelist Ian Fleming, wartime experiences in the British and Finnish military, post-war Nazi-hunting adventures and a side career as a heavy metal rock singer. And one of the most iconic actors of all time.",7.2,5
